"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Thu Jan 25 06:01:16 +0000 2024","1750398409079726276","Yg terlintas dibenak pak Anies saat mendorong becak adalah filosofi mengangkat dan mendorong yg kecil maju ke depan.  Sementara yg terlintas di benakku: Prabowo sulit utk melakukan hal yg sama (mendorong becak). Krn mendorong Gibran maju aja udah berat! 🤣 https://t.co/yeTmPnnvFK","1","10","23","59","in","1544189100147613696","1750398409079726276","cute_julianna","https://twitter.com/cute_julianna/status/1750398409079726276","https://pbs.twimg.com/ext_tw_video_thumb/1750173487317262336/pu/img/70UEvGqv-QZDN7BS.jpg",""
"Thu Jan 25 06:41:33 +0000 2024","1750408545923952967","Mantap makin banyak rapatan barisan untuk prabowo gibran #PrabowoMenangKoperasiJaya https://t.co/apH9oUri2c","0","0","10","7","in","1547451484237078528","1750408545923952967","axelarchieve","https://twitter.com/axelarchieve/status/1750408545923952967","https://pbs.twimg.com/media/GEqzSuRa0AArOL5.jpg",""
"Thu Jan 25 06:16:41 +0000 2024","1750402290673205418","Emak emak buruh tani di Situbondo saja sudah mendukung Prabowo-Gibran dan mereka yakin bahwa visi misi 02 sangat berguna untuk Indonesia. Mari kita rapatkan barisan kita untuk memenangkan Prabowo-Gibran dalam satu putaran di pilpres 2024. #PrabowoMenangKoperasiJaya https://t.co/7mMuHBT6hV","0","0","5","3","in","1412184751","1750402290673205418","DEWIKECEB0NG","https://twitter.com/DEWIKECEB0NG/status/1750402290673205418","https://pbs.twimg.com/media/GEqtm0iagAAA2tY.jpg","loving opuy endlessly 🫶🏻"
"Thu Jan 25 01:20:02 +0000 2024","1750327637011255419","wkwkwkkwk ini gibran sendiri yg ngasih pertanyaan  gibran sendiri yg bawa-bawa tom lembong  tapi satu kabinet yg nyuci piring wkwkwkwkw komedi","204","158","5257","22780","in","285031352","1750327637011255419","Faiz_akbar14","https://twitter.com/Faiz_akbar14/status/1750327637011255419","",""
"Wed Jan 24 15:17:17 +0000 2024","1750175949927403941","Kalian pikir Jokowi itu dukung prabowo? Engga anjir. Dia itu cuma dukung anaknya. Nnt kalo terpilih  prabowo dicampak ke IKN trus si gibran jd penguasa jabodetabek","1198","805","9959","47307","in","318405502","1750175949927403941","ellinoyaa","https://twitter.com/ellinoyaa/status/1750175949927403941","","Kota Medan, Sumatera Utara"
"Thu Jan 25 02:02:19 +0000 2024","1750338277880869332","Boy Thohir  Erik Thohir  Luhut  dan Pandu  serta Arini (merujuk pernyataan Boy) sama-sama mendukung Prabowo-Gibran.   Sementara Sandiaga ada di kubu Ganjar-Mahfud.   Tapi  apa yang mempertemukan mereka?   #PemiluMemilukan https://t.co/MVMPTtL4i3","137","370","1884","5293","in","890819108","1750338277880869332","melky_nahar","https://twitter.com/melky_nahar/status/1750338277880869332","https://pbs.twimg.com/media/GEpzYaDbcAA3FpP.jpg",""
"Wed Jan 24 18:24:10 +0000 2024","1750222980523942010","Kalau masuknya gibran aja udah berefek kenaikan elektabilitas 45%  tapi knapa masih harus juga dibantu sama presiden  menteri  istana  influencer  ustad  sembako  kepala desa  aparat kepolisian  akun kemenhan  zarry  buzzer. Sebenernya ada apasi? Apa yang disembunyikan?🤔🤔🤔🤔","185","276","4149","22772","in","1517123019453636609","1750222980523942010","legislatweet","https://twitter.com/legislatweet/status/1750222980523942010","",""
"Wed Jan 24 08:52:00 +0000 2024","1750078988528349386","Duh malu gak tuh sih Samsul  Melihat Sejumlah media asing menyoroti pernyataan hingga gimik kasarnya?  Pak @jokowi nih Media Singapura  Channel NewsAsia (CNA)  menuliskan sikap mas Gibran yang “songong” tolong di bungkam 😂 #AsalBukanPrabowoGibran https://t.co/O9wpe0VdTE","71","251","881","3007","in","1374686160748830724","1750078988528349386","DS_yantie","https://twitter.com/DS_yantie/status/1750078988528349386","https://pbs.twimg.com/media/GEmHkKFawAAwEZg.jpg",""
"Thu Jan 25 00:16:44 +0000 2024","1750311703806714071","Lg di airport jam segini ada ibu2 nntn video pulitik dengan volume sampe SATU KAFE bs denger tp videonya ngatain gibran. Jd gpp.","1861","953","10205","67320","in","124763180","1750311703806714071","difashfr","https://twitter.com/difashfr/status/1750311703806714071","",""
"Wed Jan 24 13:50:52 +0000 2024","1750154200326221829","wah cocok ya kalau mas gibran tuh di panggil #GusG_bran sesuai yang disematkan oleh Gus Itqon lho gaes https://t.co/aFpN7YBosQ","9","10","8","14","in","1427943087578312708","1750154200326221829","rin_widowati28","https://twitter.com/rin_widowati28/status/1750154200326221829","https://pbs.twimg.com/media/GEnLxKTawAA3o0Z.jpg",""
"Thu Jan 25 05:42:48 +0000 2024","1750393762789163241","Prabowo-Gibran menerima dukungan besar dari INKUD melalui acara konsolidasi dan silaturahmi  serta memberikan bantuan alat genset untuk masyarakat di Jawa Tengah. #PrabowoMenangKoperasiJaya https://t.co/ithT23a2Ag","0","0","9","7","in","1541301842365120512","1750393762789163241","Anggita_Naylin","https://twitter.com/Anggita_Naylin/status/1750393762789163241","https://pbs.twimg.com/media/GEql2M2b0AAe7v_.jpg",""
"Thu Jan 25 05:41:31 +0000 2024","1750393440796643352","Dukungan INKUD kepada Prabowo-Gibran berkomitmen melalui acara konsolidasi dan silaturahmi  serta bantuan alat genset di Jawa Tengah. #PrabowoMenangKoperasiJaya https://t.co/MC5KqvP4Bw","0","0","8","6","in","1541301842365120512","1750393440796643352","Anggita_Naylin","https://twitter.com/Anggita_Naylin/status/1750393440796643352","https://pbs.twimg.com/media/GEqljeLaUAAkrXk.jpg",""
"Thu Jan 25 04:17:47 +0000 2024","1750372368919544061","Prabowo-Gibran makin mentereng.  Yg boneka makin panik dan kecut.  Siapakan kata kotor lg nih program nya.  #PrabowoMenangKoperasiJaya https://t.co/sOtIxfZmCr","0","0","9","7","in","1442246515649433603","1750372368919544061","KimHui_","https://twitter.com/KimHui_/status/1750372368919544061","https://pbs.twimg.com/media/GEqSZKEbkAAV7fp.jpg","Sematang Borang, Indonesia"
"Thu Jan 25 04:19:23 +0000 2024","1750372770146656483","#PrabowoMenangKoperasiJaya Kerena itu jgn ragu dukung Prabowo-Gibran.   Prabowo-Gibran masa depan Indonesia jelas makin jelas. https://t.co/zc7CfNStZN","0","0","4","4","in","1442246515649433603","1750372770146656483","KimHui_","https://twitter.com/KimHui_/status/1750372770146656483","https://pbs.twimg.com/media/GEqSwg2bQAAArxv.jpg","Sematang Borang, Indonesia"
"Thu Jan 25 01:35:01 +0000 2024","1750331406725820771","Gibran duluan yg tuduh @tomlembong bohong soal LFP saat debat  eh begitu Tom Lembong respon balik eh  Luhut ragukan intelektualitas Tom Bahlil sindir kinerja dan tuduh Tom halusinasi Budiman "Burit" tuduh Tom gak ada etika profesi Habiburokhman tuduh Tom cuma jago pidato https://t.co/PKn4MN9E8W","40","154","1545","4845","in","227320530","1750331406725820771","hipohan","https://twitter.com/hipohan/status/1750331406725820771","https://pbs.twimg.com/media/GEptIoZasAA91CQ.jpg",""
"Thu Jan 25 06:05:37 +0000 2024","1750399505537941839","INKUD Jawa Tengah dengan komitmennya mendukung Prabowo-Gibran  menggelar acara konsolidasi dan memberikan bantuan alat genset kepada masyarakat di Jawa Tengah. #PrabowoMenangKoperasiJaya https://t.co/jwVG0VwJ90","0","0","9","6","in","1413689671821893641","1750399505537941839","Septyamaliaa","https://twitter.com/Septyamaliaa/status/1750399505537941839","https://pbs.twimg.com/media/GEqrEZibAAAx-zk.jpg",""
